field,b1h40s4096c,b1h56s4096c,b1h40s32768c,b1h56s32768c,b1h3s4096,b2h3s4096,b1h5s4096,b2h5s4096,b1h10s4096,b2h10s4096,b1h24s4096,b2h24s4096,b1h40s4096,b2h40s4096,b1h56s4096,b2h56s4096,b1h3s32768,b2h3s32768,b1h5s32768,b2h5s32768,b1h10s32768,b2h10s32768,b1h24s32768,b2h24s32768,b1h40s32768,b2h40s32768,b1h56s32768,b2h56s32768,b1h3s65536,b2h3s65536,b1h5s65536,b2h5s65536,b1h10s65536,b2h10s65536,b1h24s65536,b2h24s65536,b1h40s65536,b2h40s65536,b1h56s65536,b2h56s65536,b1h24s16384,b1h40s16384,b1h56s16384,b1h24s131072,b1h40s131072,b1h56s131072,b8h24s1024,b8h40s1024,b8h24s8192,b8h40s8192
group,causal,causal,causal,causal,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,core,longctx,longctx,longctx,longctx,longctx,longctx,serving,serving,serving,serving
b,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,8,8,8,8
h,40,56,40,56,3,3,5,5,10,10,24,24,40,40,56,56,3,3,5,5,10,10,24,24,40,40,56,56,3,3,5,5,10,10,24,24,40,40,56,56,24,40,56,24,40,56,24,40,24,40
s,4096,4096,32768,32768,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,16384,16384,16384,131072,131072,131072,1024,1024,8192,8192
d,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
causal,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iters,10,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,3,3,10,10,10,10
baseline_status,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
baseline_json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json,kb_baseline_sm90_20260829T214544Z.json
new_status,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
new_json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json,kb_new_sm90_20260829T214607Z.json
role (baseline us / new us / ratio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_mean,26.3/27.8/0.945,31.1/31.7/0.979,96.8/96.4/1.004,129.7/129.6/1.001,10.6/10.8/0.977,11.0/11.0/0.992,10.7/11.1/0.962,14.6/14.2/1.027,14.8/14.2/1.041,17.5/17.7/0.988,24.3/22.6/1.074,28.7/29.3/0.982,29.7/28.8/1.032,36.3/36.2/1.002,30.8/30.8/0.998,43.4/44.1/0.985,47.0/47.2/0.996,45.2/43.9/1.028,45.9/45.6/1.008,48.5/47.9/1.011,48.3/46.7/1.036,62.5/62.2/1.005,68.1/67.8/1.004,112.6/112.1/1.004,97.2/96.6/1.006,164.2/164.4/0.998,129.6/130.2/0.996,228.4/229.3/0.996,62.9/62.7/1.003,62.1/63.7/0.975,60.1/59.3/1.014,71.6/71.1/1.008,71.3/71.1/1.002,100.9/100.7/1.002,115.2/114.3/1.008,212.2/213.0/0.996,170.3/168.4/1.012,322.9/319.9/1.009,232.7/232.4/1.001,449.0/453.5/0.990,46.0/44.2/1.041,58.5/57.7/1.015,72.6/72.5/1.002,217.6/218.0/0.998,327.9/328.1/0.999,469.8/469.5/1.001,26.7/27.2/0.982,34.3/34.6/0.992,108.3/108.1/1.002,165.4/164.9/1.003
quant_q,28.1/23.5/1.195,39.5/34.1/1.158,213.4/180.7/1.181,297.6/254.9/1.167,3.2/2.8/1.137,6.1/5.0/1.215,5.0/4.2/1.196,9.4/7.5/1.249,9.6/7.5/1.270,15.9/13.1/1.213,19.2/14.8/1.296,32.9/26.9/1.219,32.7/25.1/1.300,54.4/44.2/1.231,37.1/30.5/1.218,71.8/59.3/1.212,18.0/15.0/1.205,32.3/26.5/1.220,27.6/22.9/1.205,51.6/43.5/1.187,52.6/42.8/1.229,107.7/91.1/1.182,128.3/108.9/1.179,259.0/218.3/1.186,215.4/181.8/1.185,431.4/361.2/1.194,302.5/253.7/1.192,610.6/526.7/1.159,32.9/27.1/1.214,64.8/54.8/1.183,54.6/46.2/1.184,108.7/92.2/1.179,109.0/91.7/1.189,219.0/184.9/1.184,260.9/218.6/1.194,521.8/438.1/1.191,440.4/368.6/1.195,881.3/739.2/1.192,607.4/516.8/1.175,1184.4/1042.2/1.136,64.2/53.3/1.203,104.8/87.4/1.198,145.3/124.4/1.168,536.7/458.7/1.170,915.9/772.0/1.186,1262.9/1067.4/1.183,33.0/27.7/1.190,54.3/43.1/1.261,250.5/205.7/1.218,420.5/355.9/1.182
