shape_id,group,s,causal,base_r1,base_r2,base_r3,base_r4,fix_r1,fix_r2,fix_r3,fix_r4,ratio_r1,ratio_r2,ratio_r3,ratio_r4,ratio_gm
b8h24s1024,serving,1024,False,517.4,500.85,495.09,494.48,487.31,503.06,487.55,499.28,1.0617,0.9956,1.0155,0.9904,1.0154
b8h40s1024,serving,1024,False,791.82,805.7,808.86,794.61,797.79,802.44,788.08,803.25,0.9925,1.0041,1.0264,0.9892,1.0029
b1h10s4096,core,4096,False,410.2,437.38,412.46,427.23,431.72,421.72,426.63,422.94,0.9502,1.0371,0.9668,1.0101,0.9905
b1h24s4096,core,4096,False,991.03,1019.68,1013.08,1025.14,1012.29,1038.97,1006.39,1018.16,0.979,0.9814,1.0066,1.0069,0.9934
b1h3s4096,core,4096,False,172.64,170.6,178.82,180.49,168.07,175.79,176.17,170.19,1.0272,0.9704,1.015,1.0605,1.0178
b1h40s4096,core,4096,False,1479.63,1499.02,1510.72,1484.39,1501.1,1501.48,1494.68,1496.77,0.9857,0.9984,1.0107,0.9917,0.9966
b1h40s4096c,causal,4096,True,912.76,900.61,907.83,920.46,935.05,899.67,886.85,913.3,0.9762,1.001,1.0237,1.0078,1.002
b1h56s4096,core,4096,False,2011.5,2026.01,2012.47,2033.17,2022.16,2036.03,2019.96,2037.83,0.9947,0.9951,0.9963,0.9977,0.996
b1h56s4096c,causal,4096,True,1187.02,1235.96,1209.3,1194.84,1185.67,1193.99,1201.8,1191.59,1.0011,1.0351,1.0062,1.0027,1.0112
b1h5s4096,core,4096,False,275.6,268.82,263.4,267.25,278.64,280.59,269.28,273.88,0.9891,0.958,0.9782,0.9758,0.9752
b2h10s4096,core,4096,False,747.21,748.92,747.85,758.9,750.82,746.95,761.47,750.98,0.9952,1.0026,0.9821,1.0105,0.9976
b2h24s4096,core,4096,False,1802.93,1803.01,1800.16,1822.19,1820.01,1817.09,1808.59,1810.37,0.9906,0.9923,0.9953,1.0065,0.9962
b2h3s4096,core,4096,False,260.22,260.99,266.51,267.99,255.99,261.94,261.52,258.29,1.0165,0.9964,1.0191,1.0375,1.0173
b2h40s4096,core,4096,False,2881.27,2955.37,2907.68,2949.6,2945.87,2967.19,2917.98,2967.22,0.9781,0.996,0.9965,0.9941,0.9911
b2h56s4096,core,4096,False,4122.0,4238.61,4157.67,4220.37,4162.45,4298.86,4134.29,4253.97,0.9903,0.986,1.0057,0.9921,0.9935
b2h5s4096,core,4096,False,399.62,401.18,401.32,405.57,403.74,409.64,403.75,414.97,0.9898,0.9793,0.994,0.9774,0.9851
b8h24s8192,serving,8192,False,29843.64,30462.06,30286.31,30720.65,30358.18,30769.31,29845.14,30566.61,0.9831,0.99,1.0148,1.005,0.9981
b8h40s8192,serving,8192,False,49527.59,50738.69,50415.56,50806.17,50458.96,51006.78,49824.43,50918.74,0.9815,0.9947,1.0119,0.9978,0.9964
b1h24s16384,longctx,16384,False,14798.93,15294.42,15213.41,15323.62,15037.87,15205.29,14892.62,15354.94,0.9841,1.0059,1.0215,0.998,1.0023
b1h40s16384,longctx,16384,False,24518.93,25412.8,25289.26,25276.61,25228.85,25445.7,24785.02,25489.05,0.9719,0.9987,1.0203,0.9917,0.9955
