shape_id,group,s,causal,base_r1,base_r2,fix_r1,fix_r2,ratio_r1,ratio_r2,ratio_gm
b8h24s1024,serving,1024,False,740.15,740.17,741.2,741.21,0.9986,0.9986,0.9986
b8h40s1024,serving,1024,False,1211.95,1211.75,1214.02,1214.2,0.9983,0.998,0.9981
b1h10s4096,core,4096,False,693.82,693.85,695.18,695.02,0.998,0.9983,0.9982
b1h24s4096,core,4096,False,1542.0,1542.67,1544.72,1544.75,0.9982,0.9987,0.9984
b1h3s4096,core,4096,False,352.41,352.42,352.86,352.88,0.9987,0.9987,0.9987
b1h40s4096,core,4096,False,2395.41,2397.65,2399.38,2399.63,0.9983,0.9992,0.9988
b1h40s4096c,causal,4096,True,1376.33,1382.71,1377.01,1382.2,0.9995,1.0004,0.9999
b1h56s4096,core,4096,False,3415.97,3418.96,3427.48,3421.72,0.9966,0.9992,0.9979
b1h56s4096c,causal,4096,True,1858.88,1871.49,1870.12,1869.03,0.994,1.0013,0.9976
b1h5s4096,core,4096,False,353.26,353.25,353.86,353.83,0.9983,0.9984,0.9983
b2h10s4096,core,4096,False,1204.89,1204.93,1205.46,1205.85,0.9995,0.9992,0.9994
b2h24s4096,core,4096,False,2917.47,2905.93,2918.5,2909.1,0.9996,0.9989,0.9993
b2h3s4096,core,4096,False,524.54,524.53,526.28,526.34,0.9967,0.9966,0.9966
b2h40s4096,core,4096,False,4771.8,4774.75,4795.05,4779.09,0.9952,0.9991,0.9971
b2h56s4096,core,4096,False,6666.11,6654.1,6663.62,6662.28,1.0004,0.9988,0.9996
b2h5s4096,core,4096,False,693.93,694.03,695.27,695.19,0.9981,0.9983,0.9982
b8h24s8192,serving,8192,False,45443.4,45451.83,45477.84,45478.48,0.9992,0.9994,0.9993
b8h40s8192,serving,8192,False,75608.7,75623.67,75661.62,75664.6,0.9993,0.9995,0.9994
b1h24s16384,longctx,16384,False,23083.32,23083.66,23101.92,23101.97,0.9992,0.9992,0.9992
b1h40s16384,longctx,16384,False,37992.8,37998.55,38023.77,38020.92,0.9992,0.9994,0.9993
b1h56s16384,longctx,16384,False,52929.44,52935.41,52963.61,52954.68,0.9994,0.9996,0.9995
b1h10s32768,core,32768,False,38036.1,38039.39,38076.45,38059.45,0.9989,0.9995,0.9992
b1h24s32768,core,32768,False,90874.41,90871.71,90923.95,90918.86,0.9995,0.9995,0.9995
b1h3s32768,core,32768,False,12283.02,12320.51,12300.21,12331.1,0.9986,0.9991,0.9989
b1h40s32768,core,32768,False,151749.3,151757.54,151833.83,151834.09,0.9994,0.9995,0.9995
b1h40s32768c,causal,32768,True,75999.77,75958.87,75951.19,75990.18,1.0006,0.9996,1.0001
b1h56s32768,core,32768,False,211333.57,211456.42,211571.75,211552.26,0.9989,0.9995,0.9992
b1h56s32768c,causal,32768,True,106224.62,106213.77,106239.85,106176.09,0.9999,1.0004,1.0001
b1h5s32768,core,32768,False,19072.36,19106.05,19202.04,19091.17,0.9932,1.0008,0.997
b2h10s32768,core,32768,False,75960.71,75960.89,76005.71,76001.75,0.9994,0.9995,0.9994
b2h24s32768,core,32768,False,181569.49,181610.63,181694.54,181692.34,0.9993,0.9996,0.9994
b2h3s32768,core,32768,False,23126.32,23150.01,23150.8,23160.03,0.9989,0.9996,0.9993
b2h40s32768,core,32768,False,302050.81,302146.67,302288.88,302294.19,0.9992,0.9995,0.9994
b2h56s32768,core,32768,False,422557.46,422769.22,422990.98,422960.5,0.999,0.9995,0.9993
b2h5s32768,core,32768,False,38034.66,38034.43,38063.95,38066.33,0.9992,0.9992,0.9992
b1h10s65536,core,65536,False,151879.67,151888.33,151967.94,151974.88,0.9994,0.9994,0.9994
b1h24s65536,core,65536,False,363088.36,363140.21,363302.25,363305.57,0.9994,0.9995,0.9995
b1h3s65536,core,65536,False,46237.34,46242.46,46283.65,46283.41,0.999,0.9991,0.9991
b1h40s65536,core,65536,False,603998.42,604209.01,604470.96,604475.66,0.9992,0.9996,0.9994
b1h56s65536,core,65536,False,844972.91,845393.37,845773.25,845772.81,0.9991,0.9996,0.9993
b1h5s65536,core,65536,False,76043.12,76047.52,76099.75,76096.91,0.9993,0.9994,0.9993
b2h10s65536,core,65536,False,303454.98,303457.34,303602.24,303604.4,0.9995,0.9995,0.9995
b2h24s65536,core,65536,False,725831.67,725853.18,726162.72,726166.22,0.9995,0.9996,0.9996
b2h3s65536,core,65536,False,92256.99,92257.03,92312.51,92317.17,0.9994,0.9993,0.9994
b2h40s65536,core,65536,False,1207766.83,1207828.38,1208336.83,1208343.08,0.9995,0.9996,0.9996
b2h56s65536,core,65536,False,1689719.05,1689812.93,1690528.71,1690532.68,0.9995,0.9996,0.9995
b2h5s65536,core,65536,False,151871.97,151889.75,151975.63,151970.52,0.9993,0.9995,0.9994
b1h24s131072,longctx,131072,False,1451558.29,1451573.39,1452205.27,1452199.74,0.9996,0.9996,0.9996
b1h40s131072,longctx,131072,False,2415424.31,2415456.51,2416475.88,2416471.92,0.9996,0.9996,0.9996
b1h56s131072,longctx,131072,False,3379304.44,3379354.22,3380755.24,3380738.61,0.9996,0.9996,0.9996
