case,layout,causal,head_dim,gran,pv,smooth_k,smooth_v,cos_sim,rel_l1
pv_sweep,HND,False,64,per_warp,fp32,True,,0.999297,0.037431
pv_sweep,HND,False,64,per_warp,fp32,False,,0.999301,0.037337
pv_sweep,HND,False,64,per_warp,fp32+fp32,True,,0.999297,0.037429
pv_sweep,HND,False,64,per_warp,fp32+fp32,False,,0.999301,0.037332
pv_sweep,HND,False,64,per_warp,fp32+fp16,True,,0.999327,0.036660
pv_sweep,HND,False,64,per_warp,fp32+fp16,False,,0.999328,0.036646
pv_sweep,HND,False,64,per_thread,fp32,True,,0.999315,0.036977
pv_sweep,HND,False,64,per_thread,fp32,False,,0.999313,0.037023
pv_sweep,HND,False,64,per_thread,fp32+fp32,True,,0.999315,0.036971
pv_sweep,HND,False,64,per_thread,fp32+fp32,False,,0.999313,0.037018
pv_sweep,HND,False,64,per_thread,fp32+fp16,True,,0.999345,0.036146
pv_sweep,HND,False,64,per_thread,fp32+fp16,False,,0.999340,0.036268
pv_sweep,HND,False,128,per_warp,fp32,True,,0.999298,0.037396
pv_sweep,HND,False,128,per_warp,fp32,False,,0.999296,0.037476
pv_sweep,HND,False,128,per_warp,fp32+fp32,True,,0.999298,0.037391
pv_sweep,HND,False,128,per_warp,fp32+fp32,False,,0.999296,0.037472
pv_sweep,HND,False,128,per_warp,fp32+fp16,True,,0.999319,0.036787
pv_sweep,HND,False,128,per_warp,fp32+fp16,False,,0.999319,0.036837
pv_sweep,HND,False,128,per_thread,fp32,True,,0.999313,0.036982
pv_sweep,HND,False,128,per_thread,fp32,False,,0.999310,0.037091
pv_sweep,HND,False,128,per_thread,fp32+fp32,True,,0.999314,0.036977
pv_sweep,HND,False,128,per_thread,fp32+fp32,False,,0.999310,0.037087
pv_sweep,HND,False,128,per_thread,fp32+fp16,True,,0.999334,0.036407
pv_sweep,HND,False,128,per_thread,fp32+fp16,False,,0.999333,0.036442
pv_sweep,HND,True,64,per_warp,fp32,True,,0.999427,0.035035
pv_sweep,HND,True,64,per_warp,fp32,False,,0.999428,0.034997
pv_sweep,HND,True,64,per_warp,fp32+fp32,True,,0.999427,0.035035
pv_sweep,HND,True,64,per_warp,fp32+fp32,False,,0.999428,0.034998
pv_sweep,HND,True,64,per_warp,fp32+fp16,True,,0.999436,0.034735
pv_sweep,HND,True,64,per_warp,fp32+fp16,False,,0.999442,0.034651
pv_sweep,HND,True,64,per_thread,fp32,True,,0.999438,0.034702
pv_sweep,HND,True,64,per_thread,fp32,False,,0.999437,0.034674
pv_sweep,HND,True,64,per_thread,fp32+fp32,True,,0.999438,0.034703
pv_sweep,HND,True,64,per_thread,fp32+fp32,False,,0.999437,0.034674
pv_sweep,HND,True,64,per_thread,fp32+fp16,True,,0.999454,0.034288
pv_sweep,HND,True,64,per_thread,fp32+fp16,False,,0.999453,0.034270
pv_sweep,HND,True,128,per_warp,fp32,True,,0.999417,0.035317
pv_sweep,HND,True,128,per_warp,fp32,False,,0.999423,0.035183
pv_sweep,HND,True,128,per_warp,fp32+fp32,True,,0.999417,0.035316
pv_sweep,HND,True,128,per_warp,fp32+fp32,False,,0.999423,0.035181
pv_sweep,HND,True,128,per_warp,fp32+fp16,True,,0.999432,0.035031
pv_sweep,HND,True,128,per_warp,fp32+fp16,False,,0.999436,0.034967
pv_sweep,HND,True,128,per_thread,fp32,True,,0.999432,0.034845
pv_sweep,HND,True,128,per_thread,fp32,False,,0.999434,0.034871
pv_sweep,HND,True,128,per_thread,fp32+fp32,True,,0.999432,0.034843
pv_sweep,HND,True,128,per_thread,fp32+fp32,False,,0.999434,0.034869
pv_sweep,HND,True,128,per_thread,fp32+fp16,True,,0.999448,0.034587
pv_sweep,HND,True,128,per_thread,fp32+fp16,False,,0.999450,0.034562
pv_sweep,NHD,False,64,per_warp,fp32,True,,0.999313,0.037040
pv_sweep,NHD,False,64,per_warp,fp32,False,,0.999309,0.037132
pv_sweep,NHD,False,64,per_warp,fp32+fp32,True,,0.999313,0.037041
pv_sweep,NHD,False,64,per_warp,fp32+fp32,False,,0.999309,0.037133
pv_sweep,NHD,False,64,per_warp,fp32+fp16,True,,0.999318,0.036869
pv_sweep,NHD,False,64,per_warp,fp32+fp16,False,,0.999321,0.036826
pv_sweep,NHD,False,64,per_thread,fp32,True,,0.999330,0.036612
pv_sweep,NHD,False,64,per_thread,fp32,False,,0.999327,0.036666
pv_sweep,NHD,False,64,per_thread,fp32+fp32,True,,0.999330,0.036612
pv_sweep,NHD,False,64,per_thread,fp32+fp32,False,,0.999327,0.036666
pv_sweep,NHD,False,64,per_thread,fp32+fp16,True,,0.999337,0.036437
pv_sweep,NHD,False,64,per_thread,fp32+fp16,False,,0.999336,0.036450
