metric                                                                             full_dsl_d128          full_cuda_d128
========================================================================================================================
gpu__time_duration.sum                                                             3,452,480.000           1,684,992.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          42.039                  51.197
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          17.941                  47.641
sm__cycles_elapsed.avg                                                             4,646,158.152           2,269,867.106
sm__cycles_active.avg                                                              4,595,220.652           2,241,738.727
launch__grid_size                                                                          8,192                   8,192
launch__block_size                                                                           256                     128
launch__registers_per_thread                                                                 240                     167
launch__shared_mem_per_block_static                                                            0                     128
launch__shared_mem_per_block_dynamic                                                     115,712                  40,960
launch__shared_mem_per_block_driver                                                        1,024                   1,024
launch__waves_per_multiprocessor                                                          62.061                  20.687
launch__occupancy_per_block_size                                                          73.000                 221.000
launch__occupancy_per_register_count                                                   2,056.000               2,732.000
launch__occupancy_per_shared_mem_size                                                  3,640.000               2,708.000
launch__occupancy_limit_blocks                                                            32.000                  32.000
launch__occupancy_limit_registers                                                          1.000                   3.000
launch__occupancy_limit_shared_mem                                                         1.000                   3.000
launch__occupancy_limit_warps                                                              8.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    12.500                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                          7.630                  18.494
sm__warps_active.avg.per_cycle_active                                                      4.883                  11.836
smsp__warps_active.avg.per_cycle_active                                                    1.222                   2.958
smsp__warps_eligible.avg.per_cycle_active                                                  0.429                   0.964
smsp__issue_active.avg.per_cycle_active                                                    0.426                   0.519
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        57.434                  48.150
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    11.064                  22.679
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    11.064                  22.679
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.346                   0.709
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.691                   1.417
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               15.171                  18.277
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               39.972                  33.672
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                22.840                  46.886
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                3.856                   2.373
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               42.505                  51.840
smsp__inst_executed.sum                                                        1,031,274,496.000         613,580,800.000
dram__bytes_read.sum                                                             201,730,560.000         201,588,736.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.189                   2.434
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.726                   1.469
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       17.941                  33.362
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         12.357                  47.671
l1tex__t_sector_hit_rate.pct                                                              85.811                  58.266
lts__t_sector_hit_rate.pct                                                                92.455                  95.889
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,605,632.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,605,632.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                   0.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                               7,501.000                   0.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000                   0.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000                   0.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,605,632.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000           1,048,576.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000
stalled_wait                                                                               0.619                   1.265
stalled_long_scoreboard                                                                    0.559                   0.263
stalled_barrier                                                                            0.498                   0.878
stalled_no_instruction                                                                     0.067                   0.025
stalled_short_scoreboard                                                                   0.065                   0.197
stalled_dispatch_stall                                                                     0.021                   0.387
stalled_gmma                                                                               0.015                   0.076
stalled_branch_resolving                                                                   0.007                   0.007
stalled_not_selected                                                                       0.007                   0.858
stalled_math_pipe_throttle                                                                 0.006                   0.274
stalled_drain                                                                              0.005                   0.033
stalled_imc_miss                                                                           0.001                   0.003
stalled_mio_throttle                                                                       0.001                   0.398
stalled_misc                                                                               0.000                   0.000
stalled_lg_throttle                                                                        0.000                   0.042
stalled_membar                                                                             0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000
