metric                                                                            full_dsl4_d128    prev_full_dsl3b_d128     prev_full_cuda_d128
================================================================================================================================================
gpu__time_duration.sum                                                             1,883,968.000           1,822,528.000           1,684,992.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          46.242                  52.841                  51.197
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          43.268                  42.329                  47.641
sm__cycles_elapsed.avg                                                             2,573,902.894           2,481,686.530           2,269,867.106
sm__cycles_active.avg                                                              2,544,715.402           2,437,934.659           2,241,738.727
launch__grid_size                                                                          8,192                   8,192                   8,192
launch__block_size                                                                           256                     256                     128
launch__registers_per_thread                                                                 128                     128                     167
launch__shared_mem_per_block_static                                                            0                       0                     128
launch__shared_mem_per_block_dynamic                                                      82,944                  82,944                  40,960
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                          15.515                  15.515                  20.687
launch__occupancy_per_block_size                                                         346.000                 346.000                 221.000
launch__occupancy_per_register_count                                                   3,088.000               3,088.000               2,732.000
launch__occupancy_per_shared_mem_size                                                  5,216.000               5,216.000               2,708.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          2.000                   2.000                   3.000
launch__occupancy_limit_shared_mem                                                         2.000                   2.000                   3.000
launch__occupancy_limit_warps                                                              8.000                   8.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  25.000                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                         15.281                  15.311                  18.494
sm__warps_active.avg.per_cycle_active                                                      9.780                   9.799                  11.836
smsp__warps_active.avg.per_cycle_active                                                    2.445                   2.448                   2.958
smsp__warps_eligible.avg.per_cycle_active                                                  0.658                   0.750                   0.964
smsp__issue_active.avg.per_cycle_active                                                    0.467                   0.538                   0.519
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        53.251                  46.235                  48.150
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    19.979                  20.854                  22.679
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    19.979                  20.854                  22.679
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.624                   0.652                   0.709
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     1.249                   1.303                   1.417
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               17.231                  22.955                  18.277
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               35.199                  36.741                  33.672
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                41.245                  43.052                  46.886
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                2.361                   2.464                   2.373
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               46.772                  53.789                  51.840
smsp__inst_executed.sum                                                          628,426,400.000         692,378,504.000         613,580,800.000
dram__bytes_read.sum                                                             201,608,448.000         201,618,176.000         201,588,736.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         2.178                   2.251                   2.434
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        1.321                   1.368                   1.469
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       27.944                  28.937                  33.362
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         43.320                  42.421                  47.671
l1tex__t_sector_hit_rate.pct                                                              92.412                  92.456                  58.266
lts__t_sector_hit_rate.pct                                                                95.472                  95.301                  95.889
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,212,416.000           1,605,632.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,114,112.000           1,605,632.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                               3,331.000               3,985.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                             338,319.000             370,311.000                   0.000
smsp__sass_inst_executed_op_local_ld.sum                                             139,264.000             139,264.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                             131,072.000             131,072.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000             524,288.000                   0.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000              32,768.000                   0.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,114,112.000           1,605,632.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000           1,048,576.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_long_scoreboard                                                                    0.990                   0.849                   0.263
stalled_barrier                                                                            0.974                   0.742                   0.878
stalled_wait                                                                               0.965                   0.819                   1.265
stalled_not_selected                                                                       0.407                   0.395                   0.858
stalled_mio_throttle                                                                       0.212                   0.068                   0.398
stalled_dispatch_stall                                                                     0.199                   0.255                   0.387
stalled_math_pipe_throttle                                                                 0.167                   0.102                   0.274
stalled_short_scoreboard                                                                   0.139                   0.112                   0.197
stalled_no_instruction                                                                     0.054                   0.064                   0.025
stalled_misc                                                                               0.054                   0.049                   0.000
stalled_gmma                                                                               0.049                   0.073                   0.076
stalled_branch_resolving                                                                   0.013                   0.013                   0.007
stalled_drain                                                                              0.008                   0.007                   0.033
stalled_imc_miss                                                                           0.003                   0.003                   0.003
stalled_lg_throttle                                                                        0.000                   0.000                   0.042
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
