metric                                                                         full_dsl4sel_d128         full_dsl4t_d128     prev_full_cuda_d128
================================================================================================================================================
gpu__time_duration.sum                                                             1,812,832.000           1,849,344.000           1,684,992.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          45.726                  47.247                  51.197
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          42.477                  42.410                  47.641
sm__cycles_elapsed.avg                                                             2,473,194.303           2,519,192.424           2,269,867.106
sm__cycles_active.avg                                                              2,437,102.008           2,483,809.227           2,241,738.727
launch__grid_size                                                                          8,192                   8,192                   8,192
launch__block_size                                                                           256                     256                     128
launch__registers_per_thread                                                                 128                     128                     167
launch__shared_mem_per_block_static                                                            0                       0                     128
launch__shared_mem_per_block_dynamic                                                      82,944                  82,944                  40,960
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                          15.515                  15.515                  20.687
launch__occupancy_per_block_size                                                         346.000                 346.000                 221.000
launch__occupancy_per_register_count                                                   3,088.000               3,088.000               2,732.000
launch__occupancy_per_shared_mem_size                                                  5,216.000               5,216.000               2,708.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          2.000                   2.000                   3.000
launch__occupancy_limit_shared_mem                                                         2.000                   2.000                   3.000
launch__occupancy_limit_warps                                                              8.000                   8.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  25.000                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                         15.341                  15.273                  18.494
sm__warps_active.avg.per_cycle_active                                                      9.818                   9.775                  11.836
smsp__warps_active.avg.per_cycle_active                                                    2.454                   2.442                   2.958
smsp__warps_eligible.avg.per_cycle_active                                                  0.649                   0.679                   0.964
smsp__issue_active.avg.per_cycle_active                                                    0.464                   0.479                   0.519
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        53.579                  52.063                  48.150
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    20.861                  20.469                  22.679
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    20.861                  20.469                  22.679
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.652                   0.640                   0.709
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     1.304                   1.279                   1.417
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               17.880                  17.653                  18.277
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               32.244                  36.062                  33.672
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                43.066                  42.256                  46.886
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                2.465                   2.419                   2.373
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               46.404                  47.920                  51.840
smsp__inst_executed.sum                                                          597,110,200.000         628,441,928.000         613,580,800.000
dram__bytes_read.sum                                                             201,590,528.000         201,593,600.000         201,588,736.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         2.263                   2.218                   2.434
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        1.377                   1.348                   1.469
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       29.080                  28.538                  33.362
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         42.539                  42.526                  47.671
l1tex__t_sector_hit_rate.pct                                                              92.464                  92.438                  58.266
lts__t_sector_hit_rate.pct                                                                95.971                  95.156                  95.889
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,212,416.000           1,605,632.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,114,112.000           1,605,632.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                               3,098.000               3,469.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                             243,236.000             275,819.000                   0.000
smsp__sass_inst_executed_op_local_ld.sum                                             139,264.000             139,264.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                             131,072.000             131,072.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000             524,288.000                   0.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000              32,768.000                   0.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,114,112.000           1,605,632.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000           1,048,576.000

-- warp stall ratios (per issue-active) --
stalled_wait                                                                               1.046                   1.048                   1.265
stalled_long_scoreboard                                                                    1.026                   0.964                   0.263
stalled_barrier                                                                            1.020                   0.871                   0.878
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_not_selected                                                                       0.399                   0.416                   0.858
stalled_mio_throttle                                                                       0.209                   0.156                   0.398
stalled_dispatch_stall                                                                     0.165                   0.179                   0.387
stalled_math_pipe_throttle                                                                 0.136                   0.165                   0.274
stalled_short_scoreboard                                                                   0.107                   0.103                   0.197
stalled_gmma                                                                               0.062                   0.058                   0.076
stalled_misc                                                                               0.056                   0.054                   0.000
stalled_no_instruction                                                                     0.034                   0.056                   0.025
stalled_branch_resolving                                                                   0.015                   0.014                   0.007
stalled_drain                                                                              0.008                   0.008                   0.033
stalled_imc_miss                                                                           0.003                   0.002                   0.003
stalled_lg_throttle                                                                        0.000                   0.000                   0.042
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
