metric                                                                              full_pp_d128          full_dsl2_d128     prev_full_cuda_d128
================================================================================================================================================
gpu__time_duration.sum                                                             2,232,320.000           1,999,072.000           1,684,992.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          50.100                  53.578                  51.197
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          27.945                  38.531                  47.641
sm__cycles_elapsed.avg                                                             3,003,815.879           2,688,063.485           2,269,867.106
sm__cycles_active.avg                                                              2,912,671.765           2,660,753.886           2,241,738.727
launch__grid_size                                                                          4,096                   8,192                   8,192
launch__block_size                                                                           384                     256                     128
launch__registers_per_thread                                                                 168                     128                     167
launch__shared_mem_per_block_static                                                            0                       0                     128
launch__shared_mem_per_block_dynamic                                                     197,632                  82,944                  40,960
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                          31.030                  15.515                  20.687
launch__occupancy_per_block_size                                                         157.000                 346.000                 221.000
launch__occupancy_per_register_count                                                   2,028.000               3,088.000               2,732.000
launch__occupancy_per_shared_mem_size                                                  5,460.000               5,216.000               2,708.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          1.000                   2.000                   3.000
launch__occupancy_limit_shared_mem                                                         1.000                   2.000                   3.000
launch__occupancy_limit_warps                                                              5.000                   8.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    18.750                  25.000                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                         13.766                  15.261                  18.494
sm__warps_active.avg.per_cycle_active                                                      8.810                   9.767                  11.836
smsp__warps_active.avg.per_cycle_active                                                    2.208                   2.441                   2.958
smsp__warps_eligible.avg.per_cycle_active                                                  0.735                   0.762                   0.964
smsp__issue_active.avg.per_cycle_active                                                    0.518                   0.541                   0.519
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        48.217                  45.852                  48.150
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    17.455                  19.107                  22.679
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    17.455                  19.107                  22.679
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.545                   0.597                   0.709
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     1.091                   1.194                   1.417
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               19.747                  21.480                  18.277
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               41.195                  40.069                  33.672
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                36.069                  39.446                  46.886
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                6.365                   7.035                   2.373
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               51.668                  54.128                  51.840
smsp__inst_executed.sum                                                          794,581,530.000         760,426,548.000         613,580,800.000
dram__bytes_read.sum                                                             201,626,624.000         201,597,440.000         201,588,736.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.838                   2.052                   2.434
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        1.118                   1.250                   1.469
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       27.945                  31.586                  33.362
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         17.448                  38.683                  47.671
l1tex__t_sector_hit_rate.pct                                                              94.622                  92.512                  58.266
lts__t_sector_hit_rate.pct                                                                90.845                  95.631                  95.889
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,212,416.000           1,605,632.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,114,112.000           1,605,632.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                 654.000                 691.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              92,163.000             264,010.000                   0.000
smsp__sass_inst_executed_op_local_ld.sum                                              32,768.000             139,264.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                              65,536.000             131,072.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000             524,288.000                   0.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000              32,768.000                   0.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,114,112.000           1,605,632.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000           1,048,576.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_barrier                                                                            0.750                   0.737                   0.878
stalled_wait                                                                               0.639                   0.652                   1.265
stalled_long_scoreboard                                                                    0.465                   0.843                   0.263
stalled_not_selected                                                                       0.419                   0.407                   0.858
stalled_mio_throttle                                                                       0.336                   0.122                   0.398
stalled_math_pipe_throttle                                                                 0.199                   0.151                   0.274
stalled_dispatch_stall                                                                     0.176                   0.228                   0.387
stalled_short_scoreboard                                                                   0.137                   0.178                   0.197
stalled_gmma                                                                               0.042                   0.065                   0.076
stalled_misc                                                                               0.041                   0.044                   0.000
stalled_no_instruction                                                                     0.040                   0.064                   0.025
stalled_branch_resolving                                                                   0.012                   0.011                   0.007
stalled_drain                                                                              0.005                   0.006                   0.033
stalled_imc_miss                                                                           0.002                   0.002                   0.003
stalled_lg_throttle                                                                        0.000                   0.000                   0.042
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
