metric                                                                               full_pp_d64           full_dsl2_d64
========================================================================================================================
gpu__time_duration.sum                                                             1,920,064.000           1,677,536.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          53.007                  59.477
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          19.577                  22.674
sm__cycles_elapsed.avg                                                             2,582,567.227           2,262,766.076
sm__cycles_active.avg                                                              2,514,149.545           2,230,469.689
launch__grid_size                                                                          4,096                   8,192
launch__block_size                                                                           384                     256
launch__registers_per_thread                                                                 168                     128
launch__shared_mem_per_block_static                                                            0                       0
launch__shared_mem_per_block_dynamic                                                     156,672                  95,232
launch__shared_mem_per_block_driver                                                        1,024                   1,024
launch__waves_per_multiprocessor                                                          31.030                  15.515
launch__occupancy_per_block_size                                                         157.000                 346.000
launch__occupancy_per_register_count                                                   2,028.000               3,088.000
launch__occupancy_per_shared_mem_size                                                  5,460.000               5,216.000
launch__occupancy_limit_blocks                                                            32.000                  32.000
launch__occupancy_limit_registers                                                          1.000                   2.000
launch__occupancy_limit_shared_mem                                                         1.000                   2.000
launch__occupancy_limit_warps                                                              5.000                   8.000
sm__maximum_warps_per_active_cycle_pct                                                    18.750                  25.000
sm__warps_active.avg.pct_of_peak_sustained_active                                         13.654                  15.038
sm__warps_active.avg.per_cycle_active                                                      8.738                   9.624
smsp__warps_active.avg.per_cycle_active                                                    2.190                   2.406
smsp__warps_eligible.avg.per_cycle_active                                                  0.798                   0.877
smsp__issue_active.avg.per_cycle_active                                                    0.546                   0.604
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        45.406                  39.648
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    10.111                  11.397
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    10.111                  11.397
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.632                   0.712
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.632                   0.712
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               19.903                  22.619
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               47.157                  47.608
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                41.746                  47.056
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                6.891                   7.766
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               54.449                  60.338
smsp__inst_executed.sum                                                          722,787,360.000         710,583,484.000
dram__bytes_read.sum                                                             100,923,136.000         100,919,296.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.070                   1.224
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.595                   0.678
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       19.577                  22.674
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         10.575                  19.804
l1tex__t_sector_hit_rate.pct                                                              95.357                  90.733
lts__t_sector_hit_rate.pct                                                                94.466                  99.587
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,146,880.000           1,146,880.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,097,728.000           1,097,728.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                               7,338.000               2,342.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              60,475.000              81,443.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            262,144.000             262,144.000
smsp__sass_inst_executed_op_shared_st.sum                                             16,384.000              16,384.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,097,728.000           1,097,728.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000
stalled_wait                                                                               0.671                   0.645
stalled_barrier                                                                            0.501                   0.394
stalled_not_selected                                                                       0.463                   0.454
stalled_long_scoreboard                                                                    0.395                   0.672
stalled_mio_throttle                                                                       0.357                   0.149
stalled_math_pipe_throttle                                                                 0.222                   0.176
stalled_dispatch_stall                                                                     0.135                   0.166
stalled_short_scoreboard                                                                   0.133                   0.145
stalled_gmma                                                                               0.057                   0.079
stalled_no_instruction                                                                     0.035                   0.061
stalled_misc                                                                               0.023                   0.024
stalled_branch_resolving                                                                   0.011                   0.012
stalled_drain                                                                              0.004                   0.006
stalled_imc_miss                                                                           0.001                   0.003
stalled_lg_throttle                                                                        0.000                   0.000
stalled_membar                                                                             0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000
