metric                                                                          full_ppfmha_d128            full_pp_d128
========================================================================================================================
gpu__time_duration.sum                                                             2,296,800.000           2,232,320.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          48.721                  50.100
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          27.128                  27.945
sm__cycles_elapsed.avg                                                             3,092,749.303           3,003,815.879
sm__cycles_active.avg                                                              2,994,748.841           2,912,671.765
launch__grid_size                                                                          4,096                   4,096
launch__block_size                                                                           384                     384
launch__registers_per_thread                                                                 168                     168
launch__shared_mem_per_block_static                                                            0                       0
launch__shared_mem_per_block_dynamic                                                     197,632                 197,632
launch__shared_mem_per_block_driver                                                        1,024                   1,024
launch__waves_per_multiprocessor                                                          31.030                  31.030
launch__occupancy_per_block_size                                                         157.000                 157.000
launch__occupancy_per_register_count                                                   2,028.000               2,028.000
launch__occupancy_per_shared_mem_size                                                  5,460.000               5,460.000
launch__occupancy_limit_blocks                                                            32.000                  32.000
launch__occupancy_limit_registers                                                          1.000                   1.000
launch__occupancy_limit_shared_mem                                                         1.000                   1.000
launch__occupancy_limit_warps                                                              5.000                   5.000
sm__maximum_warps_per_active_cycle_pct                                                    18.750                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                         13.722                  13.766
sm__warps_active.avg.per_cycle_active                                                      8.782                   8.810
smsp__warps_active.avg.per_cycle_active                                                    2.197                   2.208
smsp__warps_eligible.avg.per_cycle_active                                                  0.711                   0.735
smsp__issue_active.avg.per_cycle_active                                                    0.504                   0.518
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        49.631                  48.217
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    16.976                  17.455
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    16.976                  17.455
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.531                   0.545
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     1.061                   1.091
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               19.162                  19.747
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               40.083                  41.195
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                35.080                  36.069
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                6.175                   6.365
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               50.315                  51.668
smsp__inst_executed.sum                                                          795,582,305.000         794,581,530.000
dram__bytes_read.sum                                                             201,664,000.000         201,626,624.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.787                   1.838
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        1.082                   1.118
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       27.128                  27.945
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         16.768                  17.448
l1tex__t_sector_hit_rate.pct                                                              93.591                  94.622
lts__t_sector_hit_rate.pct                                                                92.377                  90.845
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,212,416.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,114,112.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                   0.000                 654.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              54,396.000              92,163.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000              32,768.000
smsp__sass_inst_executed_op_local_st.sum                                              32,768.000              65,536.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000             524,288.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000              32,768.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,114,112.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000
stalled_barrier                                                                            0.782                   0.750
stalled_wait                                                                               0.666                   0.639
stalled_long_scoreboard                                                                    0.505                   0.465
stalled_not_selected                                                                       0.412                   0.419
stalled_mio_throttle                                                                       0.387                   0.336
stalled_math_pipe_throttle                                                                 0.188                   0.199
stalled_dispatch_stall                                                                     0.160                   0.176
stalled_short_scoreboard                                                                   0.123                   0.137
stalled_gmma                                                                               0.041                   0.042
stalled_misc                                                                               0.041                   0.041
stalled_no_instruction                                                                     0.038                   0.040
stalled_branch_resolving                                                                   0.012                   0.012
stalled_drain                                                                              0.004                   0.005
stalled_imc_miss                                                                           0.002                   0.002
stalled_lg_throttle                                                                        0.000                   0.000
stalled_membar                                                                             0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000
