metric                                                                         0:QuantInt8Kernel               1:QuantInt8Kernel     2:TransposePadPermuteKernel               3:MeanScaleKernel
================================================================================================================================================================================================
gpu__time_duration.sum                                                                66,496.000                     110,880.000                     400,352.000                      69,120.000
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed                                    57.927                          34.737                          12.659                          56.096
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                        41.092                          24.645                           6.822                          39.525
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                       16.835                          10.092                           5.837                          16.571
dram__bytes_read.sum                                                             134,225,408.000                 134,260,736.000                 134,223,616.000                 134,235,392.000
dram__bytes_write.sum                                                             54,990,848.000                  54,977,536.000                 114,830,336.000                  56,277,248.000
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          57.927                          34.737                          92.042                          56.096
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          69.933                          35.361                           7.955                          81.531
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       47.037                          20.181                          92.042                          49.121
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         74.488                          46.696                          17.357                          71.322
lts__t_sector_hit_rate.pct                                                                34.469                          34.195                          50.245                          43.786
launch__grid_size                                                                         32,768                           4,096                           8,192                          16,384
launch__block_size                                                                           256                           1,024                           1,024                             256
launch__registers_per_thread                                                                  28                              38                              21                              32
launch__waves_per_multiprocessor                                                          31.030                          31.030                          31.030                          15.515
sm__warps_active.avg.pct_of_peak_sustained_active                                         90.913                          48.014                          96.835                          92.383
smsp__issue_active.avg.per_cycle_active                                                    0.730                           0.379                           0.077                           0.843
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                           0.000                           0.000                           0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                           0.000                           0.000                           0.000
smsp__sass_inst_executed_op_global_ld.sum                                            262,144.000                     393,216.000                           0.000                     524,288.000
smsp__sass_inst_executed_op_global_st.sum                                            294,912.000                     266,240.000                     262,144.000                     278,528.000
