metric                                                            0:_quant_q_int8_per_warp_kerne  1:_quant_k_int8_per_block_kern      2:_quant_v_fp8_amax_kernel  3:_quant_v_fp8_transpose_kerne
================================================================================================================================================================================================
gpu__time_duration.sum                                                                54,752.000                      63,840.000                      43,456.000                      47,648.000
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed                                    69.691                          59.557                          64.222                          78.068
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                        49.922                          42.831                          62.880                          57.411
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                       19.769                          16.726                           1.343                          20.657
dram__bytes_read.sum                                                             134,240,000.000                 134,275,072.000                 134,233,088.000                 134,298,880.000
dram__bytes_write.sum                                                             53,158,912.000                  52,435,200.000                   2,865,920.000                  48,322,048.000
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          69.691                          59.557                          64.222                          78.068
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          79.907                          66.923                          17.937                          37.477
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       44.345                          31.240                          42.644                          45.530
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         84.772                          75.862                          73.318                          88.834
lts__t_sector_hit_rate.pct                                                                34.547                          34.301                           0.626                          34.524
launch__grid_size                                                                         32,768                           4,096                             256                           8,192
launch__block_size                                                                           128                             256                             256                             128
launch__registers_per_thread                                                                  30                              80                              64                              65
launch__waves_per_multiprocessor                                                          15.515                          10.343                           0.485                           8.866
sm__warps_active.avg.pct_of_peak_sustained_active                                         92.314                          34.993                          24.032                          40.719
smsp__issue_active.avg.per_cycle_active                                                    0.802                           0.607                           0.157                           0.406
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                           0.000                           0.000                           0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                           0.000                           0.000                           0.000
smsp__sass_inst_executed_op_global_ld.sum                                            262,144.000                     327,680.000                     262,144.000                     393,216.000
smsp__sass_inst_executed_op_global_st.sum                                            163,840.000                     135,168.000                       1,024.000                     131,072.000
