metric                                                                             full_dsl2_d64       base_full_dsl_d64
========================================================================================================================
gpu__time_duration.sum                                                             1,677,536.000           1,709,440.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          59.477                  58.155
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          22.674                  22.308
sm__cycles_elapsed.avg                                                             2,262,766.076           2,304,512.818
sm__cycles_active.avg                                                              2,230,469.689           2,270,675.455
launch__grid_size                                                                          8,192                   8,192
launch__block_size                                                                           256                     256
launch__registers_per_thread                                                                 128                     128
launch__shared_mem_per_block_static                                                            0                       0
launch__shared_mem_per_block_dynamic                                                      95,232                  95,232
launch__shared_mem_per_block_driver                                                        1,024                   1,024
launch__waves_per_multiprocessor                                                          15.515                  15.515
launch__occupancy_per_block_size                                                         346.000                 346.000
launch__occupancy_per_register_count                                                   3,088.000               3,088.000
launch__occupancy_per_shared_mem_size                                                  5,216.000               5,216.000
launch__occupancy_limit_blocks                                                            32.000                  32.000
launch__occupancy_limit_registers                                                          2.000                   2.000
launch__occupancy_limit_shared_mem                                                         2.000                   2.000
launch__occupancy_limit_warps                                                              8.000                   8.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  25.000
sm__warps_active.avg.pct_of_peak_sustained_active                                         15.038                  15.052
sm__warps_active.avg.per_cycle_active                                                      9.624                   9.634
smsp__warps_active.avg.per_cycle_active                                                    2.406                   2.408
smsp__warps_eligible.avg.per_cycle_active                                                  0.877                   0.850
smsp__issue_active.avg.per_cycle_active                                                    0.604                   0.591
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        39.648                  40.950
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    11.397                  11.195
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    11.397                  11.195
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.712                   0.700
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.712                   0.700
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               22.619                  22.393
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               47.608                  46.513
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                47.056                  46.223
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                7.766                   7.628
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               60.338                  59.022
smsp__inst_executed.sum                                                          710,583,484.000         707,603,928.000
dram__bytes_read.sum                                                             100,919,296.000         100,898,304.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.224                   1.201
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.678                   0.668
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       22.674                  22.308
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         19.804                  19.632
l1tex__t_sector_hit_rate.pct                                                              90.733                  90.728
lts__t_sector_hit_rate.pct                                                                99.587                  95.570
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,146,880.000           1,146,880.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,097,728.000           1,097,728.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                               2,342.000                 820.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              81,443.000              65,274.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            262,144.000             262,144.000
smsp__sass_inst_executed_op_shared_st.sum                                             16,384.000              16,384.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,097,728.000           1,097,728.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000
stalled_long_scoreboard                                                                    0.672                   0.781
stalled_wait                                                                               0.645                   0.672
stalled_not_selected                                                                       0.454                   0.439
stalled_barrier                                                                            0.394                   0.411
stalled_math_pipe_throttle                                                                 0.176                   0.175
stalled_dispatch_stall                                                                     0.166                   0.154
stalled_mio_throttle                                                                       0.149                   0.160
stalled_short_scoreboard                                                                   0.145                   0.129
stalled_gmma                                                                               0.079                   0.061
stalled_no_instruction                                                                     0.061                   0.074
stalled_misc                                                                               0.024                   0.000
stalled_branch_resolving                                                                   0.012                   0.011
stalled_drain                                                                              0.006                   0.005
stalled_imc_miss                                                                           0.003                   0.003
stalled_lg_throttle                                                                        0.000                   0.000
stalled_membar                                                                             0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000
