metric                                                                             full_dsl2_d64       prev_full_dsl_d64
========================================================================================================================
gpu__time_duration.sum                                                             1,677,536.000           2,999,520.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          59.477                  45.218
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          22.674                  12.511
sm__cycles_elapsed.avg                                                             2,262,766.076           4,037,308.818
sm__cycles_active.avg                                                              2,230,469.689           3,994,308.121
launch__grid_size                                                                          8,192                   8,192
launch__block_size                                                                           256                     256
launch__registers_per_thread                                                                 128                     240
launch__shared_mem_per_block_static                                                            0                       0
launch__shared_mem_per_block_dynamic                                                      95,232                  95,232
launch__shared_mem_per_block_driver                                                        1,024                   1,024
launch__waves_per_multiprocessor                                                          15.515                  62.061
launch__occupancy_per_block_size                                                         346.000                  73.000
launch__occupancy_per_register_count                                                   3,088.000               2,056.000
launch__occupancy_per_shared_mem_size                                                  5,216.000               3,640.000
launch__occupancy_limit_blocks                                                            32.000                  32.000
launch__occupancy_limit_registers                                                          2.000                   1.000
launch__occupancy_limit_shared_mem                                                         2.000                   1.000
launch__occupancy_limit_warps                                                              8.000                   8.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  12.500
sm__warps_active.avg.pct_of_peak_sustained_active                                         15.038                   7.561
sm__warps_active.avg.per_cycle_active                                                      9.624                   4.839
smsp__warps_active.avg.per_cycle_active                                                    2.406                   1.211
smsp__warps_eligible.avg.per_cycle_active                                                  0.877                   0.459
smsp__issue_active.avg.per_cycle_active                                                    0.604                   0.458
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        39.648                  54.222
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    11.397                   6.364
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    11.397                   6.364
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.712                   0.398
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.712                   0.398
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               22.619                  15.673
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               47.608                  44.867
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                47.056                  26.277
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                7.766                   4.336
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               60.338                  45.705
smsp__inst_executed.sum                                                          710,583,484.000         963,895,296.000
dram__bytes_read.sum                                                             100,919,296.000         100,921,344.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.224                   0.685
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.678                   0.384
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       22.674                  12.511
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         19.804                   7.350
l1tex__t_sector_hit_rate.pct                                                              90.733                  90.714
lts__t_sector_hit_rate.pct                                                                99.587                  94.249
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,146,880.000           1,146,880.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,097,728.000           1,097,728.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                               2,342.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              81,443.000               4,843.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            262,144.000             262,144.000
smsp__sass_inst_executed_op_shared_st.sum                                             16,384.000              16,384.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,097,728.000           1,097,728.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000
stalled_long_scoreboard                                                                    0.672                   0.520
stalled_wait                                                                               0.645                   0.626
stalled_not_selected                                                                       0.454                   0.002
stalled_barrier                                                                            0.394                   0.307
stalled_math_pipe_throttle                                                                 0.176                   0.000
stalled_dispatch_stall                                                                     0.166                   0.016
stalled_mio_throttle                                                                       0.149                   0.001
stalled_short_scoreboard                                                                   0.145                   0.081
stalled_gmma                                                                               0.079                   0.014
stalled_no_instruction                                                                     0.061                   0.065
stalled_misc                                                                               0.024                   0.000
stalled_branch_resolving                                                                   0.012                   0.008
stalled_drain                                                                              0.006                   0.004
stalled_imc_miss                                                                           0.003                   0.001
stalled_lg_throttle                                                                        0.000                   0.000
stalled_membar                                                                             0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000
