metric                                                                             emu_d128_res0           emu_d128_res8
========================================================================================================================
gpu__time_duration.sum                                                             1,664,608.000           2,507,392.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          51.285                  67.517
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          48.228                  30.489
sm__cycles_elapsed.avg                                                             2,267,530.379           3,419,500.879
sm__cycles_active.avg                                                              2,234,095.689           3,364,955.788
launch__grid_size                                                                          8,192                   8,192
launch__block_size                                                                           128                     128
launch__registers_per_thread                                                                 167                     167
launch__shared_mem_per_block_static                                                            0                       0
launch__shared_mem_per_block_dynamic                                                      66,560                  66,560
launch__shared_mem_per_block_driver                                                        1,024                   1,024
launch__waves_per_multiprocessor                                                           6.896                   6.896
launch__occupancy_per_block_size                                                         221.000                 221.000
launch__occupancy_per_register_count                                                   2,732.000               2,732.000
launch__occupancy_per_shared_mem_size                                                  3,348.000               3,348.000
launch__occupancy_limit_blocks                                                            32.000                  32.000
launch__occupancy_limit_registers                                                          3.000                   3.000
launch__occupancy_limit_shared_mem                                                         3.000                   3.000
launch__occupancy_limit_warps                                                             16.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    18.750                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                         18.462                  18.488
sm__warps_active.avg.per_cycle_active                                                     11.816                  11.833
smsp__warps_active.avg.per_cycle_active                                                    2.954                   2.958
smsp__warps_eligible.avg.per_cycle_active                                                  0.880                   1.288
smsp__issue_active.avg.per_cycle_active                                                    0.521                   0.686
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        47.948                  31.395
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    22.756                  15.109
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    22.756                  15.109
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.711                   0.472
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     1.422                   0.944
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               19.394                  42.504
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               35.192                  39.766
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                46.980                   0.974
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                2.586                   1.717
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               52.053                  68.611
smsp__inst_executed.sum                                                          613,998,592.000       1,218,994,176.000
dram__bytes_read.sum                                                             201,650,944.000         201,600,512.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         2.465                   1.636
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        1.489                   0.988
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       31.659                  21.002
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         48.220                  30.332
l1tex__t_sector_hit_rate.pct                                                              86.027                  85.991
lts__t_sector_hit_rate.pct                                                                95.062                  95.068
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,212,416.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,114,112.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                 772.000                 789.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                             151,929.000             130,259.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000             524,288.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000              32,768.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,114,112.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_wait                                                                               1.100                   0.897
stalled_selected                                                                           1.000                   1.000
stalled_barrier                                                                            0.916                   0.454
stalled_not_selected                                                                       0.689                   0.877
stalled_gmma                                                                               0.671                   0.375
stalled_dispatch_stall                                                                     0.369                   0.262
stalled_math_pipe_throttle                                                                 0.253                   0.184
stalled_mio_throttle                                                                       0.249                   0.000
stalled_long_scoreboard                                                                    0.134                   0.063
stalled_short_scoreboard                                                                   0.127                   0.058
stalled_no_instruction                                                                     0.064                   0.091
stalled_misc                                                                               0.059                   0.030
stalled_branch_resolving                                                                   0.037                   0.018
stalled_imc_miss                                                                           0.003                   0.002
stalled_drain                                                                              0.002                   0.001
stalled_lg_throttle                                                                        0.000                   0.000
stalled_membar                                                                             0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000
