metric                                                                              emu_d64_res0            emu_d64_res1            emu_d64_res8
================================================================================================================================================
gpu__time_duration.sum                                                             1,307,712.000           1,386,624.000           2,114,528.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          59.821                  64.186                  77.139
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          30.535                  28.488                  17.833
sm__cycles_elapsed.avg                                                             1,783,638.561           1,894,587.909           2,885,895.121
sm__cycles_active.avg                                                              1,754,721.409           1,861,975.515           2,838,126.848
launch__grid_size                                                                          8,192                   8,192                   8,192
launch__block_size                                                                           128                     128                     128
launch__registers_per_thread                                                                 126                     128                     128
launch__shared_mem_per_block_static                                                            0                       0                       0
launch__shared_mem_per_block_dynamic                                                      54,272                  54,272                  54,272
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                           3.879                   3.879                   3.879
launch__occupancy_per_block_size                                                         398.000                 398.000                 398.000
launch__occupancy_per_register_count                                                   3,248.000               3,248.000               3,248.000
launch__occupancy_per_shared_mem_size                                                  3,808.000               3,808.000               3,808.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          4.000                   4.000                   4.000
launch__occupancy_limit_shared_mem                                                         4.000                   4.000                   4.000
launch__occupancy_limit_warps                                                             16.000                  16.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  25.000                  25.000
sm__warps_active.avg.pct_of_peak_sustained_active                                         24.463                  24.478                  24.489
sm__warps_active.avg.per_cycle_active                                                     15.656                  15.666                  15.673
smsp__warps_active.avg.per_cycle_active                                                    3.914                   3.917                   3.918
smsp__warps_eligible.avg.per_cycle_active                                                  1.284                   1.479                   1.832
smsp__issue_active.avg.per_cycle_active                                                    0.608                   0.653                   0.784
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        39.194                  34.694                  21.564
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    14.487                  13.652                   8.957
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    14.487                  13.652                   8.957
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.905                   0.853                   0.560
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.905                   0.853                   0.560
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               21.283                  26.900                  48.015
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               44.109                  44.706                  46.980
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                59.814                  49.542                   1.155
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                3.066                   2.890                   2.884
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               60.806                  65.310                  78.437
smsp__inst_executed.sum                                                          563,355,648.000         642,064,384.000       1,175,396,352.000
dram__bytes_read.sum                                                             100,878,080.000         100,972,544.000         100,906,752.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.570                   1.482                   0.971
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.868                   0.813                   0.546
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       21.965                  20.732                  14.791
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         30.491                  28.491                  17.699
l1tex__t_sector_hit_rate.pct                                                              90.839                  90.848                  97.547
lts__t_sector_hit_rate.pct                                                                96.089                  96.539                  97.088
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,146,880.000           1,146,880.000           1,146,880.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,097,728.000           1,097,728.000           1,097,728.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                 998.000               1,179.000               1,884.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              51,937.000              70,129.000              44,722.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000           2,293,760.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000           1,310,720.000
smsp__sass_inst_executed_op_shared_ld.sum                                            262,144.000             262,144.000             262,144.000
smsp__sass_inst_executed_op_shared_st.sum                                             16,384.000              16,384.000              16,384.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,097,728.000           1,097,728.000           1,097,728.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_wait                                                                               1.211                   0.898                   1.222
stalled_not_selected                                                                       1.113                   1.264                   1.336
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_gmma                                                                               0.810                   0.804                   0.386
stalled_mio_throttle                                                                       0.546                   0.282                   0.000
stalled_barrier                                                                            0.531                   0.504                   0.277
stalled_math_pipe_throttle                                                                 0.421                   0.407                   0.282
stalled_dispatch_stall                                                                     0.372                   0.434                   0.260
stalled_long_scoreboard                                                                    0.156                   0.121                   0.063
stalled_short_scoreboard                                                                   0.109                   0.126                   0.042
stalled_no_instruction                                                                     0.077                   0.076                   0.082
stalled_misc                                                                               0.045                   0.041                   0.022
stalled_branch_resolving                                                                   0.040                   0.035                   0.019
stalled_imc_miss                                                                           0.003                   0.002                   0.002
stalled_drain                                                                              0.002                   0.002                   0.001
stalled_lg_throttle                                                                        0.000                   0.000                   0.000
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
