metric                                                                            full_dsl5_d128       full_dsl4sel_d128     prev_full_cuda_d128
================================================================================================================================================
gpu__time_duration.sum                                                             1,667,520.000           1,812,832.000           1,684,992.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          51.542                  45.726                  51.197
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          47.865                  42.477                  47.641
sm__cycles_elapsed.avg                                                             2,256,226.636           2,473,194.303           2,269,867.106
sm__cycles_active.avg                                                              2,234,243.189           2,437,102.008           2,241,738.727
launch__grid_size                                                                          8,192                   8,192                   8,192
launch__block_size                                                                           128                     256                     128
launch__registers_per_thread                                                                 167                     128                     167
launch__shared_mem_per_block_static                                                            0                       0                     128
launch__shared_mem_per_block_dynamic                                                      66,560                  82,944                  40,960
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                           6.896                  15.515                  20.687
launch__occupancy_per_block_size                                                         221.000                 346.000                 221.000
launch__occupancy_per_register_count                                                   2,732.000               3,088.000               2,732.000
launch__occupancy_per_shared_mem_size                                                  3,348.000               5,216.000               2,708.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          3.000                   2.000                   3.000
launch__occupancy_limit_shared_mem                                                         3.000                   2.000                   3.000
launch__occupancy_limit_warps                                                             16.000                   8.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    18.750                  25.000                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                         18.461                  15.341                  18.494
sm__warps_active.avg.per_cycle_active                                                     11.815                   9.818                  11.836
smsp__warps_active.avg.per_cycle_active                                                    2.954                   2.454                   2.958
smsp__warps_eligible.avg.per_cycle_active                                                  0.879                   0.649                   0.964
smsp__issue_active.avg.per_cycle_active                                                    0.520                   0.464                   0.519
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        47.958                  53.579                  48.150
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    22.755                  20.861                  22.679
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    22.755                  20.861                  22.679
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.711                   0.652                   0.709
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     1.422                   1.304                   1.417
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               19.393                  17.880                  18.277
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               35.189                  32.244                  33.672
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                46.976                  43.066                  46.886
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                2.586                   2.465                   2.373
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               52.049                  46.404                  51.840
smsp__inst_executed.sum                                                          613,998,592.000         597,110,200.000         613,580,800.000
dram__bytes_read.sum                                                             201,607,168.000         201,590,528.000         201,588,736.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         2.460                   2.263                   2.434
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        1.489                   1.377                   1.469
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       31.816                  29.080                  33.362
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         47.755                  42.539                  47.671
l1tex__t_sector_hit_rate.pct                                                              85.905                  92.464                  58.266
lts__t_sector_hit_rate.pct                                                                95.744                  95.971                  95.889
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,212,416.000           1,605,632.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,114,112.000           1,605,632.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                 745.000               3,098.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                             147,046.000             243,236.000                   0.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000             139,264.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000             131,072.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000             524,288.000                   0.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000              32,768.000                   0.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,114,112.000           1,605,632.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000           1,048,576.000

-- warp stall ratios (per issue-active) --
stalled_wait                                                                               1.100                   1.046                   1.265
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_barrier                                                                            0.915                   1.020                   0.878
stalled_not_selected                                                                       0.690                   0.399                   0.858
stalled_gmma                                                                               0.671                   0.062                   0.076
stalled_dispatch_stall                                                                     0.369                   0.165                   0.387
stalled_math_pipe_throttle                                                                 0.253                   0.136                   0.274
stalled_mio_throttle                                                                       0.250                   0.209                   0.398
stalled_long_scoreboard                                                                    0.134                   1.026                   0.263
stalled_short_scoreboard                                                                   0.127                   0.107                   0.197
stalled_no_instruction                                                                     0.064                   0.034                   0.025
stalled_misc                                                                               0.059                   0.056                   0.000
stalled_branch_resolving                                                                   0.037                   0.015                   0.007
stalled_imc_miss                                                                           0.004                   0.003                   0.003
stalled_drain                                                                              0.002                   0.008                   0.033
stalled_lg_throttle                                                                        0.000                   0.000                   0.042
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
