metric                                                                             full_dsl5_d64        full_dsl4sel_d64      prev_full_cuda_d64
================================================================================================================================================
gpu__time_duration.sum                                                             1,307,488.000           1,480,160.000           1,260,832.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          59.788                  52.018                  62.785
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          30.569                  24.720                  31.995
sm__cycles_elapsed.avg                                                             1,784,626.545           2,017,688.152           1,701,473.955
sm__cycles_active.avg                                                              1,754,916.341           1,988,940.159           1,675,902.598
launch__grid_size                                                                          8,192                   8,192                   8,192
launch__block_size                                                                           128                     256                     128
launch__registers_per_thread                                                                 126                     128                     128
launch__shared_mem_per_block_static                                                            0                       0                     128
launch__shared_mem_per_block_dynamic                                                      54,272                  95,232                  20,480
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                           3.879                  15.515                  15.515
launch__occupancy_per_block_size                                                         398.000                 346.000                 418.000
launch__occupancy_per_register_count                                                   3,248.000               3,088.000               3,960.000
launch__occupancy_per_shared_mem_size                                                  3,808.000               5,216.000               2,976.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          4.000                   2.000                   4.000
launch__occupancy_limit_shared_mem                                                         4.000                   2.000                   6.000
launch__occupancy_limit_warps                                                             16.000                   8.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  25.000                  25.000
sm__warps_active.avg.pct_of_peak_sustained_active                                         24.462                  15.118                  24.498
sm__warps_active.avg.per_cycle_active                                                     15.656                   9.676                  15.679
smsp__warps_active.avg.per_cycle_active                                                    3.914                   2.418                   3.919
smsp__warps_eligible.avg.per_cycle_active                                                  1.284                   0.735                   1.477
smsp__issue_active.avg.per_cycle_active                                                    0.608                   0.522                   0.637
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        39.204                  47.801                  36.290
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    14.485                  12.781                  15.168
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    14.485                  12.781                  15.168
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.905                   0.799                   0.948
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.905                   0.799                   0.948
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               21.280                  18.676                  21.884
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               44.104                  39.021                  45.771
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                59.807                  52.770                  62.716
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                3.066                   2.318                   2.833
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               60.800                  52.770                  63.743
smsp__inst_executed.sum                                                          563,355,648.000         548,164,146.000         564,035,584.000
dram__bytes_read.sum                                                             100,889,856.000         100,877,824.000         100,873,472.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.570                   1.387                   1.628
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.863                   0.771                   0.890
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       21.954                  18.852                  23.810
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         30.196                  24.800                  31.764
l1tex__t_sector_hit_rate.pct                                                              90.831                  90.734                  72.567
lts__t_sector_hit_rate.pct                                                                95.660                  96.418                  95.827
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,146,880.000           1,146,880.000           1,343,488.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,097,728.000           1,097,728.000           1,343,488.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                 984.000                 158.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              50,064.000              51,785.000                   0.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            262,144.000             262,144.000                   0.000
smsp__sass_inst_executed_op_shared_st.sum                                             16,384.000              16,384.000                   0.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,097,728.000           1,097,728.000           1,343,488.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000             524,288.000

-- warp stall ratios (per issue-active) --
stalled_wait                                                                               1.211                   1.003                   1.377
stalled_not_selected                                                                       1.113                   0.408                   1.318
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_gmma                                                                               0.809                   0.102                   0.178
stalled_mio_throttle                                                                       0.546                   0.226                   0.549
stalled_barrier                                                                            0.532                   0.543                   0.393
stalled_math_pipe_throttle                                                                 0.421                   0.148                   0.443
stalled_dispatch_stall                                                                     0.372                   0.129                   0.431
stalled_long_scoreboard                                                                    0.156                   0.852                   0.220
stalled_short_scoreboard                                                                   0.109                   0.119                   0.177
stalled_no_instruction                                                                     0.077                   0.046                   0.023
stalled_misc                                                                               0.045                   0.032                   0.000
stalled_branch_resolving                                                                   0.040                   0.015                   0.008
stalled_imc_miss                                                                           0.003                   0.003                   0.003
stalled_drain                                                                              0.002                   0.008                   0.026
stalled_lg_throttle                                                                        0.000                   0.000                   0.000
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
