metric                                                                      softpipe_serial_d128    softpipe_qkhide_d128   softpipe_qkhide2_d128
================================================================================================================================================
gpu__time_duration.sum                                                             1,665,472.000           2,692,128.000           1,865,664.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          51.332                  37.653                  45.668
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          48.098                  70.971                  41.106
sm__cycles_elapsed.avg                                                             2,265,444.924           3,655,772.091           2,537,069.303
sm__cycles_active.avg                                                              2,233,429.530           3,623,570.598           2,506,109.038
launch__grid_size                                                                          8,192                   8,192                   8,192
launch__block_size                                                                           128                     128                     128
launch__registers_per_thread                                                                 167                     168                     252
launch__shared_mem_per_block_static                                                            0                       0                       0
launch__shared_mem_per_block_dynamic                                                      66,560                  66,560                  66,560
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                           6.896                   6.896                  15.515
launch__occupancy_per_block_size                                                         221.000                 221.000                  94.000
launch__occupancy_per_register_count                                                   2,732.000               2,732.000               2,056.000
launch__occupancy_per_shared_mem_size                                                  3,348.000               3,348.000               2,480.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          3.000                   3.000                   2.000
launch__occupancy_limit_shared_mem                                                         3.000                   3.000                   2.000
launch__occupancy_limit_warps                                                             16.000                  16.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    18.750                  18.750                  12.500
sm__warps_active.avg.pct_of_peak_sustained_active                                         18.462                  18.482                  12.372
sm__warps_active.avg.per_cycle_active                                                     11.815                  11.829                   7.918
smsp__warps_active.avg.per_cycle_active                                                    2.954                   2.957                   1.979
smsp__warps_eligible.avg.per_cycle_active                                                  0.880                   0.522                   0.636
smsp__issue_active.avg.per_cycle_active                                                    0.521                   0.380                   0.462
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        47.936                  62.003                  53.775
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    22.763                  14.030                  20.286
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    22.763                  14.030                  20.286
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.711                   0.438                   0.634
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     1.423                   0.877                   1.268
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               19.400                  11.827                  17.428
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               35.202                  21.797                  31.969
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                46.994                  28.965                  41.880
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                2.587                  21.633                   2.306
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               52.068                  37.988                  46.232
smsp__inst_executed.sum                                                          613,998,592.000         726,777,856.000         611,745,792.000
dram__bytes_read.sum                                                             201,614,336.000         201,712,640.000         201,769,984.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         2.463                   1.525                   2.201
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        1.486                   1.132                   1.337
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       31.689                  64.359                  28.293
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         47.917                  70.971                  41.337
l1tex__t_sector_hit_rate.pct                                                              85.931                   1.325                  85.845
lts__t_sector_hit_rate.pct                                                                95.211                  98.499                  95.256
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,212,416.000           1,212,416.000           1,212,416.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,114,112.000           1,114,112.000           1,114,112.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                 703.000              10,382.000                  49.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                             147,958.000             164,406.000             244,989.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000          47,185,920.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000          48,660,480.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            524,288.000             524,288.000             524,288.000
smsp__sass_inst_executed_op_shared_st.sum                                             32,768.000              32,768.000              32,768.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,114,112.000           1,114,112.000           1,114,112.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_wait                                                                               1.100                   1.510                   1.179
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_barrier                                                                            0.916                   1.001                   0.129
stalled_not_selected                                                                       0.690                   0.375                   0.375
stalled_gmma                                                                               0.672                   0.538                   0.561
stalled_dispatch_stall                                                                     0.369                   0.151                   0.389
stalled_math_pipe_throttle                                                                 0.253                   0.063                   0.094
stalled_mio_throttle                                                                       0.249                   0.148                   0.176
stalled_long_scoreboard                                                                    0.133                   2.348                   0.151
stalled_short_scoreboard                                                                   0.127                   0.218                   0.102
stalled_no_instruction                                                                     0.064                   0.065                   0.077
stalled_misc                                                                               0.059                   0.027                   0.000
stalled_branch_resolving                                                                   0.037                   0.034                   0.044
stalled_imc_miss                                                                           0.004                   0.003                   0.002
stalled_drain                                                                              0.002                   0.003                   0.002
stalled_lg_throttle                                                                        0.000                   0.294                   0.000
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
