metric                                                                       softpipe_serial_d64    softpipe_qkhide3_d64
========================================================================================================================
gpu__time_duration.sum                                                             1,306,368.000           1,443,104.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          59.832                  54.152
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          30.573                  26.535
sm__cycles_elapsed.avg                                                             1,783,313.848           1,966,014.939
sm__cycles_active.avg                                                              1,754,539.833           1,935,246.515
launch__grid_size                                                                          8,192                   8,192
launch__block_size                                                                           128                     128
launch__registers_per_thread                                                                 126                     166
launch__shared_mem_per_block_static                                                            0                       0
launch__shared_mem_per_block_dynamic                                                      54,272                  54,272
launch__shared_mem_per_block_driver                                                        1,024                   1,024
launch__waves_per_multiprocessor                                                           3.879                   6.896
launch__occupancy_per_block_size                                                         398.000                 221.000
launch__occupancy_per_register_count                                                   3,248.000               2,732.000
launch__occupancy_per_shared_mem_size                                                  3,808.000               2,920.000
launch__occupancy_limit_blocks                                                            32.000                  32.000
launch__occupancy_limit_registers                                                          4.000                   3.000
launch__occupancy_limit_shared_mem                                                         4.000                   3.000
launch__occupancy_limit_warps                                                             16.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  18.750
sm__warps_active.avg.pct_of_peak_sustained_active                                         24.465                  18.444
sm__warps_active.avg.per_cycle_active                                                     15.658                  11.804
smsp__warps_active.avg.per_cycle_active                                                    3.914                   2.951
smsp__warps_eligible.avg.per_cycle_active                                                  1.285                   0.957
smsp__issue_active.avg.per_cycle_active                                                    0.608                   0.550
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        39.194                  44.984
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    14.488                  13.135
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    14.488                  13.135
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.906                   0.821
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.906                   0.821
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               21.285                  19.313
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               44.113                  40.641
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                59.820                  54.234
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                3.067                   2.780
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               60.813                  55.013
smsp__inst_executed.sum                                                          563,355,648.000         562,118,656.000
dram__bytes_read.sum                                                             100,878,080.000         100,906,496.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.571                   1.423
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.867                   0.790
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       21.970                  19.922
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         30.210                  26.498
l1tex__t_sector_hit_rate.pct                                                              90.847                  90.772
lts__t_sector_hit_rate.pct                                                                96.385                  94.962
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,146,880.000           1,146,880.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,097,728.000           1,097,728.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                                 987.000                 496.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              49,442.000              58,193.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            262,144.000             262,144.000
smsp__sass_inst_executed_op_shared_st.sum                                             16,384.000              16,384.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,097,728.000           1,097,728.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000

-- warp stall ratios (per issue-active) --
stalled_wait                                                                               1.211                   1.245
stalled_not_selected                                                                       1.113                   0.739
stalled_selected                                                                           1.000                   1.000
stalled_gmma                                                                               0.810                   0.800
stalled_mio_throttle                                                                       0.546                   0.385
stalled_barrier                                                                            0.532                   0.106
stalled_math_pipe_throttle                                                                 0.421                   0.257
stalled_dispatch_stall                                                                     0.372                   0.373
stalled_long_scoreboard                                                                    0.156                   0.145
stalled_short_scoreboard                                                                   0.109                   0.118
stalled_no_instruction                                                                     0.077                   0.081
stalled_misc                                                                               0.045                   0.065
stalled_branch_resolving                                                                   0.040                   0.046
stalled_imc_miss                                                                           0.003                   0.002
stalled_drain                                                                              0.002                   0.003
stalled_lg_throttle                                                                        0.000                   0.000
stalled_membar                                                                             0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000
